NOME,DISTRITO
"Escola Básica de Carlos Alberto, Porto",Porto
"Escola Básica da Torrinha, Porto",Porto
"Escola Básica da Bandeirinha, Porto",Porto
"Escola Básica de Pícua, Águas Santas, Maia",Porto
"Escola Básica de Moutidos, Águas Santas, Maia",Porto
"Escola Básica de Gandra, Águas Santas, Maia",Porto
"Escola Básica de Corim, Águas Santas, Maia",Porto
Escola Básica n.º 8 de Bragança,Bragança
"Escola Básica de Santa Comba de Rossas, Bragança",Bragança
"Escola Básica de Parada, Bragança",Bragança
"Escola Básica de Izeda, Bragança",Bragança
"Escola Básica Augusto Moreno, Bragança",Bragança
"Escola Básica do Fomento, Mirandela",Bragança
"Escola Básica do Convento, Mirandela",Bragança
"Escola Básica Luciano Cordeiro, Mirandela",Bragança
"Escola Básica de Torre de Dona Chama, Mirandela",Bragança
"Escola Básica de Pereira, Mirandela",Bragança
"Escola Básica do Campo 24 de Agosto, Porto",Porto
"Escola Básica das Flores, Porto",Porto
"Escola Básica da Lomba, Porto",Porto
"Escola Básica da Alegria, Porto",Porto
"Escola Básica de Vilar, Vilar do Andorinho, Vila Nova de Gaia",Porto
"Escola Básica de Sardão, Oliveira do Douro, Vila Nova de Gaia",Porto
"Escola Básica de Freixieiro, Vila Nova de Gaia",Porto
"Escola Básica de Cabanões, Avintes, Vila Nova de Gaia",Porto
"Escola Básica de Aldeia Nova, Vila Nova de Gaia",Porto
"Escola Básica Dr. Fernando Guedes, Avintes, Vila Nova de Gaia",Porto
"Escola Básica José Pinheiro Gonçalves, Monção",Viana do Castelo
"Escola Básica de Vale do Mouro, Tangil, Monção",Viana do Castelo
"Escola Básica de Pias, Monção",Viana do Castelo
"Escola Básica de Estrada, Monção",Viana do Castelo
Escola Básica n.º 2 de Oliveira de Azeméis,Aveiro
"Escola Básica n.º 1 de Santiago de Riba-Ul, Vila Cova, Oliveira de Azeméis",Aveiro
"Escola Básica de Santo António, Ossela, Oliveira de Azeméis",Aveiro
"Escola Básica de Outeiro, Santiago de Riba-Ul, Oliveira de Azeméis",Aveiro
"Escola Básica de Santa Maria, Bragança",Bragança
"Escola Básica de Fundo de Vila, São João da Madeira",Aveiro
"Escola Básica do Parque, São João da Madeira",Aveiro
"Escola Básica de Sobreiro, Albergaria-a-Velha",Aveiro
"Escola Básica de São João de Loure, Albergaria-a-Velha",Aveiro
"Escola Básica de Santo António, Valmaior, Albergaria-a-Velha",Aveiro
"Escola Básica de Igreja, Valmaior, Albergaria-a-Velha",Aveiro
"Escola Básica de Cruzinha, Albergaria-a-Velha",Aveiro
